id,display_name,concept_class,source,latest_source_version
SR8J,Lack of sweat pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8H,Sweat of thin consistency pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8G,Sweat of thick consistency pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8F,Sour smelling sweat pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8E,Sharp smelling sweat pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8D,Larger quantity of stool pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8C,Dry stool pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8B,Delayed passing of stool pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR8A,Urine like colour of raw-meat washings pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR89,"Urine colour of excessive depravement of Vaḷi, Aẕal and Aiyam pattern (TM2)",Diagnosis,ICD-11-MMS,2025-01
SR88,Urine colour of excessive cold pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR87,Urine of over heat pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR86,Faeces with undigested food residues pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR85,Anhidrosis pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR84,Hyperhidrosis pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR83,Reduced urine pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR82,Excessive urine pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR81,Depletion of faeces pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR80,Morbid increase of feces pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR6Z,"Physical constituent derangement patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
SR6Y,Other specified physical constituent derangement patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
SR69,Pattern of quantity (TM2),Diagnosis,ICD-11-MMS,2025-01
SR68,Compound pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR67,Bukhārāt pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR66,Rīḥ pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR65,Loss of continuity pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR64,Pattern of abnormal relative position of organs (TM2),Diagnosis,ICD-11-MMS,2025-01
SR63,Pattern of abnormal positioning of organs and appendages (TM2),Diagnosis,ICD-11-MMS,2025-01
SR62,Pattern resulting in abnormal number of organs and appendages (TM2),Diagnosis,ICD-11-MMS,2025-01
SR61,Decrease of female reproductive tissue pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR60,Increase of female reproductive tissue pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR5Z,"Derangement of channels pattern (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
SR5Y,Other specified derangement of channels pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR5E,Derangement of mind related channels pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR5D,Derangement of channels enriching breast milk pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR5C,Derangement of channels producing sweat pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR5B,Derangement of urinary tract pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR5A,Derangement of channels of faeces pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR59,Derangement of digestive tract pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR58,Derangement of channels for fluid circulation pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR57,Derangement of channels enriching vital life force pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR56,Derangement of channels enriching seminal fluid pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR55,Derangement of channels enriching bone marrow pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR54,Derangement of channels enriching bone pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR53,Derangement of channels carrying fat pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR52,Derangement of channels enriching muscle tissue pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR51,Derangement of channels enriching blood pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR50,Derangement of channels carrying essense of digested food pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR4M,Decreased secretion of breast milk pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR4L,Increased secretion of breast milk pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR4K,Diminution of menstrual flow pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR4J,Increased menstrual flow pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR4H,Dislodgement of Ojas pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR4G,Derangement of Ojas pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR4F,Diminution of Ojas pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SR4E,Depletion of reproductive tissues and semen pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
