source_file,cleaned_file,status,rows_before,rows_after,columns_before,columns_after,duplicate_rows_removed,error
extracted_tables/027_Health_Bulletin_2023/table_0036.csv,cleaned_tables/027_Health_Bulletin_2023/table_0036.csv,ok,3,0,4,0,3,
extracted_tables/027_Health_Bulletin_2023/table_0037.csv,cleaned_tables/027_Health_Bulletin_2023/table_0037.csv,ok,6,0,6,0,6,
extracted_tables/027_Health_Bulletin_2023/table_0038.csv,cleaned_tables/027_Health_Bulletin_2023/table_0038.csv,ok,2,0,2,0,2,
extracted_tables/027_Health_Bulletin_2023/table_0039.csv,cleaned_tables/027_Health_Bulletin_2023/table_0039.csv,ok,2,0,2,0,2,
extracted_tables/027_Health_Bulletin_2023/table_0040.csv,cleaned_tables/027_Health_Bulletin_2023/table_0040.csv,ok,3,0,3,0,3,
extracted_tables/027_Health_Bulletin_2023/table_0041.csv,cleaned_tables/027_Health_Bulletin_2023/table_0041.csv,ok,7,6,8,8,1,
extracted_tables/027_Health_Bulletin_2023/table_0042.csv,cleaned_tables/027_Health_Bulletin_2023/table_0042.csv,ok,11,7,17,12,4,
extracted_tables/027_Health_Bulletin_2023/table_0043.csv,cleaned_tables/027_Health_Bulletin_2023/table_0043.csv,ok,4,3,8,8,1,
extracted_tables/027_Health_Bulletin_2023/table_0044.csv,cleaned_tables/027_Health_Bulletin_2023/table_0044.csv,ok,3,0,3,0,3,
extracted_tables/027_Health_Bulletin_2023/table_0045.csv,cleaned_tables/027_Health_Bulletin_2023/table_0045.csv,ok,3,0,3,0,3,
extracted_tables/027_Health_Bulletin_2023/table_0046.csv,cleaned_tables/027_Health_Bulletin_2023/table_0046.csv,ok,3,0,3,0,3,
extracted_tables/027_Health_Bulletin_2023/table_0047.csv,cleaned_tables/027_Health_Bulletin_2023/table_0047.csv,ok,5,4,8,8,1,
extracted_tables/027_Health_Bulletin_2023/table_0048.csv,cleaned_tables/027_Health_Bulletin_2023/table_0048.csv,ok,5,5,5,5,0,
extracted_tables/027_Health_Bulletin_2023/table_0049.csv,cleaned_tables/027_Health_Bulletin_2023/table_0049.csv,ok,20,20,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0050.csv,cleaned_tables/027_Health_Bulletin_2023/table_0050.csv,ok,6,5,2,2,1,
extracted_tables/027_Health_Bulletin_2023/table_0051.csv,cleaned_tables/027_Health_Bulletin_2023/table_0051.csv,ok,8,8,5,5,0,
extracted_tables/027_Health_Bulletin_2023/table_0052.csv,cleaned_tables/027_Health_Bulletin_2023/table_0052.csv,ok,7,7,2,2,0,
extracted_tables/027_Health_Bulletin_2023/table_0053.csv,cleaned_tables/027_Health_Bulletin_2023/table_0053.csv,ok,3,3,5,5,0,
extracted_tables/027_Health_Bulletin_2023/table_0054.csv,cleaned_tables/027_Health_Bulletin_2023/table_0054.csv,ok,8,7,9,9,1,
extracted_tables/027_Health_Bulletin_2023/table_0055.csv,cleaned_tables/027_Health_Bulletin_2023/table_0055.csv,ok,3,1,2,1,2,
extracted_tables/027_Health_Bulletin_2023/table_0056.csv,cleaned_tables/027_Health_Bulletin_2023/table_0056.csv,ok,3,1,4,3,2,
extracted_tables/027_Health_Bulletin_2023/table_0057.csv,cleaned_tables/027_Health_Bulletin_2023/table_0057.csv,ok,15,4,59,25,11,
extracted_tables/027_Health_Bulletin_2023/table_0058.csv,cleaned_tables/027_Health_Bulletin_2023/table_0058.csv,ok,11,11,4,4,0,
