file,category,rows,cols
extracted_tables/027_Health_Bulletin_2023/table_0065.csv,other,21,49
extracted_tables/027_Health_Bulletin_2023/table_0029.csv,population,7,2
extracted_tables/027_Health_Bulletin_2023/table_0104.csv,cancer,4,4
extracted_tables/027_Health_Bulletin_2023/table_0132.csv,other,12,8
extracted_tables/027_Health_Bulletin_2023/table_0077.csv,health_stat,12,9
extracted_tables/027_Health_Bulletin_2023/table_0165.csv,other,9,7
extracted_tables/027_Health_Bulletin_2023/table_0001.csv,other,2,3
extracted_tables/027_Health_Bulletin_2023/table_0154.csv,other,14,16
extracted_tables/027_Health_Bulletin_2023/table_0059.csv,population,6,7
extracted_tables/027_Health_Bulletin_2023/table_0115.csv,health_stat,8,11
extracted_tables/027_Health_Bulletin_2023/table_0056.csv,other,3,4
extracted_tables/027_Health_Bulletin_2023/table_0067.csv,population,8,2
extracted_tables/027_Health_Bulletin_2023/table_0018.csv,other,2,2
extracted_tables/027_Health_Bulletin_2023/table_0183.csv,health_stat,8,5
extracted_tables/027_Health_Bulletin_2023/table_0130.csv,population,14,3
extracted_tables/027_Health_Bulletin_2023/table_0114.csv,health_stat,13,11
extracted_tables/031_Health_Bulletin_2019/table_0071.csv,other,10,8
extracted_tables/031_Health_Bulletin_2019/table_0040.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0036.csv,other,7,14
extracted_tables/031_Health_Bulletin_2019/table_0034.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0064.csv,other,2,3
extracted_tables/031_Health_Bulletin_2019/table_0020.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0070.csv,other,10,6
extracted_tables/031_Health_Bulletin_2019/table_0049.csv,other,2,4
extracted_tables/031_Health_Bulletin_2019/table_0023.csv,population,2,7
extracted_tables/031_Health_Bulletin_2019/table_0011.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0014.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0006.csv,other,10,4
extracted_tables/031_Health_Bulletin_2019/table_0016.csv,other,3,3
extracted_tables/031_Health_Bulletin_2019/table_0051.csv,health_stat,2,6
extracted_tables/031_Health_Bulletin_2019/table_0072.csv,other,7,2
extracted_tables/031_Health_Bulletin_2019/table_0013.csv,other,5,11
extracted_tables/031_Health_Bulletin_2019/table_0027.csv,other,5,2
extracted_tables/031_Health_Bulletin_2019/table_0043.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0045.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0044.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0052.csv,health_stat,2,6
extracted_tables/031_Health_Bulletin_2019/table_0032.csv,other,8,26
extracted_tables/031_Health_Bulletin_2019/table_0066.csv,other,10,12
extracted_tables/031_Health_Bulletin_2019/table_0031.csv,other,10,39
extracted_tables/031_Health_Bulletin_2019/table_0069.csv,other,11,41
extracted_tables/031_Health_Bulletin_2019/table_0022.csv,other,5,15
extracted_tables/031_Health_Bulletin_2019/table_0015.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0046.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0012.csv,other,10,2
extracted_tables/031_Health_Bulletin_2019/table_0061.csv,other,3,3
extracted_tables/031_Health_Bulletin_2019/table_0068.csv,other,9,2
extracted_tables/031_Health_Bulletin_2019/table_0057.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0019.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0041.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0047.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0004.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0062.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0030.csv,other,12,9
extracted_tables/031_Health_Bulletin_2019/table_0050.csv,other,2,4
extracted_tables/031_Health_Bulletin_2019/table_0037.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0054.csv,health_stat,2,6
extracted_tables/031_Health_Bulletin_2019/table_0026.csv,health_stat,2,6
extracted_tables/031_Health_Bulletin_2019/table_0008.csv,other,10,4
extracted_tables/031_Health_Bulletin_2019/table_0035.csv,other,17,2
extracted_tables/031_Health_Bulletin_2019/table_0058.csv,health_stat,2,6
extracted_tables/031_Health_Bulletin_2019/table_0048.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0063.csv,other,2,3
extracted_tables/031_Health_Bulletin_2019/table_0021.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0009.csv,other,10,4
extracted_tables/031_Health_Bulletin_2019/table_0007.csv,other,10,4
extracted_tables/031_Health_Bulletin_2019/table_0042.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0038.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0017.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0010.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0055.csv,health_stat,2,6
extracted_tables/031_Health_Bulletin_2019/table_0003.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0033.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0025.csv,other,2,6
extracted_tables/031_Health_Bulletin_2019/table_0039.csv,other,2,2
extracted_tables/031_Health_Bulletin_2019/table_0028.csv,other,5,3
extracted_tables/031_Health_Bulletin_2019/table_0024.csv,other,12,12
